date,type,price,shares,cost,cash,equity,return
2020-02-07 00:00:00+08:00,BUY,265.64761489868164,7000,3449.4342794593813,8137017.261429769,10000000.0,
2020-03-12 00:00:00+08:00,SELL,233.80378871154784,7000,7945.821759361954,9765697.960651241,9775282.04719637,-0.11987243401104535
2020-03-16 00:00:00+08:00,BUY,223.11611221313473,8000,3311.0431052429194,7977458.01984092,9765697.960651241,
2020-03-19 00:00:00+08:00,SELL,190.6614578704834,8000,7405.291023689575,9495344.391781097,9504276.501286233,-0.14546082764138785
2020-08-20 00:00:00+08:00,BUY,401.1398748779296,4000,2976.457871594238,7887808.434397785,9495344.391781097,
2020-09-16 00:00:00+08:00,SELL,437.1837165527344,4000,8490.107775454102,9628053.192833269,9638293.785960285,0.0898535496770876
2021-03-10 00:00:00+08:00,BUY,613.4244571533202,3000,3413.707104058227,7784366.11426925,9628053.192833269,
2021-03-30 00:00:00+08:00,SELL,688.0152145385742,3000,10020.941599754333,9838390.816285219,9850477.869640343,0.1215972994154857
2022-03-04 00:00:00+08:00,BUY,756.9991017456053,2000,2808.4666674761957,8321584.146126532,9838390.816285219,
2022-03-15 00:00:00+08:00,SELL,666.3023909912109,2000,6469.796216524658,9647719.13189243,9655522.866829656,-0.11981085650597464
2022-03-16 00:00:00+08:00,BUY,669.8519219970702,2000,2485.1506306091305,8305530.13726768,9647719.13189243,
2022-04-15 00:00:00+08:00,SELL,613.2339915161133,2000,5954.50205762146,9526043.618242284,9533225.815978616,-0.0845230544568096
2022-04-18 00:00:00+08:00,BUY,615.2002790527343,3000,3423.5895529284667,7677019.191531152,9526043.618242284,
2022-06-01 00:00:00+08:00,SELL,667.03932421875,3000,9715.427757246094,9668421.736430157,9680140.285281152,0.08426368929129192
2022-06-23 00:00:00+08:00,BUY,559.4597797851562,3000,3113.3936745043948,7986929.003400184,9668421.736430157,
2022-07-01 00:00:00+08:00,SELL,495.94383682250975,3000,7223.421983319855,9467537.091884393,9476249.834699012,-0.11353084753838404
2022-07-04 00:00:00+08:00,BUY,496.12465734863275,3000,2760.933718145141,7976402.18612035,9467537.091884393,
2022-07-21 00:00:00+08:00,SELL,580.221870666504,3000,8450.93154625763,9708616.866573604,9718810.206139881,0.16950823159505873
2022-09-02 00:00:00+08:00,BUY,503.43258663940424,3000,2801.6023446482845,8195517.504310743,9708616.866573604,
2022-09-26 00:00:00+08:00,SELL,461.09804122924805,3000,6715.892970503997,9572095.735027984,9580196.306800976,-0.08409178613715627
2022-09-28 00:00:00+08:00,BUY,442.5334915466308,4000,3283.5985072760004,7798678.170334185,9572095.735027984,
2022-11-09 00:00:00+08:00,SELL,526.7376886596679,4000,10229.245913770752,9895399.679059086,9907737.98478731,0.19027756931740464
2022-12-20 00:00:00+08:00,BUY,524.5442839355468,3000,2919.0889401013183,8318847.738312345,9895399.679059086,
2023-01-03 00:00:00+08:00,SELL,521.8754902954101,3000,7601.11651615265,9876873.092682423,9886041.402863126,-0.00508783285200105
2023-01-11 00:00:00+08:00,BUY,574.0755161743164,3000,3194.7302475100705,8151451.813911964,9876873.092682423,
2023-01-30 00:00:00+08:00,SELL,598.860196105957,3000,8722.398756283264,9939310.003473552,9949830.78119712,0.04317320497625064
2023-04-17 00:00:00+08:00,BUY,575.6995140380859,3000,3203.7677956219486,8209007.693563672,9939310.003473552,
2023-04-25 00:00:00+08:00,SELL,526.7376886596679,3000,7671.934435328063,9781548.825107347,9790802.554403516,-0.08504753640486636
2023-04-26 00:00:00+08:00,BUY,526.980189086914,3000,2932.6447522686767,8197675.613094336,9781548.825107347,
2023-05-17 00:00:00+08:00,SELL,555.1004718017579,3000,8085.038371792604,9854891.990127817,9864643.9968834,0.05336117618305
2024-01-16 00:00:00+08:00,BUY,825.957823120117,2000,3064.303523775634,8199912.040363807,9854891.990127817,
2024-02-15 00:00:00+08:00,SELL,895.225643371582,2000,8692.640997138062,9981670.686109833,9992155.570637245,0.08386362876230245
2024-04-18 00:00:00+08:00,BUY,969.0008697509764,2000,3594.9932267761224,8040073.953381104,9981670.686109833,
2024-04-22 00:00:00+08:00,SELL,889.6996197509766,2000,8638.983307781982,9810834.209575275,9821254.37330298,-0.08183816183816171
2024-04-24 00:00:00+08:00,BUY,932.0864898071288,2000,3458.0408771844477,7943203.189083833,9810834.209575275,
2024-04-29 00:00:00+08:00,SELL,934.8292496337891,2000,9077.192013944092,9803784.496337468,9814733.218380708,0.0029426022763486604
2024-07-22 00:00:00+08:00,BUY,1155.5070137939451,1000,2143.465510587768,8646134.017032934,9803784.496337468,
2024-08-02 00:00:00+08:00,SELL,1026.1111673583985,1000,4981.769717525024,9667263.414673807,9673272.322696997,-0.11198187885566663
2024-08-06 00:00:00+08:00,BUY,1014.0162991943358,1000,1881.0002350054929,8651366.115244465,9667263.414673807,
2024-08-19 00:00:00+08:00,SELL,1181.4399360351563,1000,5735.890889450684,9827070.16039017,9833988.673838215,0.16510941389585473
2024-09-05 00:00:00+08:00,BUY,1047.030848144531,1000,1942.2422233081052,8778097.070022332,9827070.16039017,
2024-09-26 00:00:00+08:00,SELL,1195.5605668945313,1000,5804.44655227295,9967853.19036459,9974854.394241082,0.14185801594405112
